# %ECSV 0.9
# ---
# datatype:
# - name: metallicity_solar
#   datatype: float64
# - name: age_Gyr
#   datatype: float64
# - name: F_inc_oplus
#   datatype: float64
# - name: Mass_oplus
#   datatype: float64
# - name: f_env_pc
#   datatype: float64
# - name: R_oplus
#   datatype: float64
# schema: astropy-2.0
metallicity_solar age_Gyr F_inc_oplus Mass_oplus f_env_pc R_oplus
1.0 1.0 0.1 8.5 100.0 14.830000000000005
1.0 1.0 0.1 13.0 0.01 1.94
1.0 1.0 0.1 13.0 0.02 1.95
1.0 1.0 0.1 13.0 0.05 1.97
1.0 1.0 0.1 13.0 0.1 2.0
1.0 1.0 0.1 13.0 0.2 2.11
1.0 1.0 0.1 13.0 0.5 2.25
1.0 1.0 0.1 13.0 1.0 2.4
1.0 1.0 0.1 13.0 2.0 2.61
1.0 1.0 0.1 13.0 5.0 3.11
1.0 1.0 0.1 13.0 10.0 3.77
1.0 1.0 0.1 13.0 20.0 4.92
1.0 1.0 0.1 13.0 100.0 14.119999999999989
1.0 1.0 0.1 20.0 0.01 2.12
1.0 1.0 0.1 20.0 0.02 2.13
1.0 1.0 0.1 20.0 0.05 2.16
1.0 1.0 0.1 20.0 0.1 2.19
1.0 1.0 0.1 20.0 0.2 2.3
1.0 1.0 0.1 20.0 0.5 2.42
1.0 1.0 0.1 20.0 1.0 2.57
1.0 1.0 0.1 20.0 2.0 2.78
1.0 1.0 0.1 20.0 5.0 3.28
1.0 1.0 0.1 20.0 10.0 3.92
1.0 1.0 0.1 20.0 20.0 5.0
1.0 1.0 0.1 20.0 100.0 13.639999999999992
1.0 1.0 0.1 40.0 0.01 2.6342857142857157
1.0 1.0 0.1 40.0 0.02 2.6442857142857146
1.0 1.0 0.1 40.0 0.05 2.7028571428571437
1.0 1.0 0.1 40.0 0.1 2.7328571428571427
1.0 1.0 0.1 40.0 0.2 2.8428571428571408
1.0 1.0 0.1 40.0 0.5 2.9057142857142852
1.0 1.0 0.1 40.0 1.0 3.0557142857142843
1.0 1.0 0.1 40.0 2.0 3.265714285714286
1.0 1.0 0.1 40.0 5.0 3.765714285714285
1.0 1.0 0.1 40.0 10.0 4.348571428571429
1.0 1.0 0.1 40.0 20.0 5.228571428571427
1.0 1.0 0.1 40.0 100.0 12.268571428571427
1.0 1.0 10.0 1.0 0.01 1.18
1.0 1.0 10.0 1.0 0.02 1.2
1.0 1.0 10.0 1.0 0.05 1.23
1.0 1.0 10.0 1.0 0.1 1.27
1.0 1.0 10.0 1.0 0.2 1.47
1.0 1.0 10.0 1.0 0.5 1.81
1.0 1.0 10.0 1.0 1.0 2.12
1.0 1.0 10.0 1.0 2.0 2.58
1.0 1.0 10.0 1.0 5.0 3.63
1.0 1.0 10.0 1.0 10.0 5.07
1.0 1.0 10.0 1.0 20.0 7.45
1.0 1.0 10.0 1.0 100.0 26.489999999999995
1.0 1.0 10.0 1.5 0.01 1.27
1.0 1.0 10.0 1.5 0.02 1.29
1.0 1.0 10.0 1.5 0.05 1.32
1.0 1.0 10.0 1.5 0.1 1.36
1.0 1.0 10.0 1.5 0.2 1.52
1.0 1.0 10.0 1.5 0.5 1.82
1.0 1.0 10.0 1.5 1.0 2.08
1.0 1.0 10.0 1.5 2.0 2.47
1.0 1.0 10.0 1.5 5.0 3.4
1.0 1.0 10.0 1.5 10.0 4.68
1.0 1.0 10.0 1.5 20.0 6.96
1.0 1.0 10.0 1.5 100.0 25.199999999999992
1.0 1.0 10.0 2.4 0.01 1.4
1.0 1.0 10.0 2.4 0.02 1.41
1.0 1.0 10.0 2.4 0.05 1.44
1.0 1.0 10.0 2.4 0.1 1.48
1.0 1.0 10.0 2.4 0.2 1.63
1.0 1.0 10.0 2.4 0.5 1.86
1.0 1.0 10.0 2.4 1.0 2.08
1.0 1.0 10.0 2.4 2.0 2.41
1.0 1.0 10.0 2.4 5.0 3.18
1.0 1.0 10.0 2.4 10.0 4.26
1.0 1.0 10.0 2.4 20.0 6.24
1.0 1.0 10.0 2.4 100.0 22.07999999999999
1.0 1.0 10.0 3.6 0.01 1.51
1.0 1.0 10.0 3.6 0.02 1.53
1.0 1.0 10.0 3.6 0.05 1.55
1.0 1.0 10.0 3.6 0.1 1.59
1.0 1.0 10.0 3.6 0.2 1.72
1.0 1.0 10.0 3.6 0.5 1.93
1.0 1.0 10.0 3.6 1.0 2.12
1.0 1.0 10.0 3.6 2.0 2.4
1.0 1.0 10.0 3.6 5.0 3.07
1.0 1.0 10.0 3.6 10.0 4.02
1.0 1.0 10.0 3.6 20.0 5.73
1.0 1.0 10.0 3.6 100.0 19.409999999999993
1.0 1.0 10.0 5.5 0.01 1.65
1.0 1.0 10.0 5.5 0.02 1.66
1.0 1.0 10.0 5.5 0.05 1.69
1.0 1.0 10.0 5.5 0.1 1.72
1.0 1.0 10.0 5.5 0.2 1.85
1.0 1.0 10.0 5.5 0.5 2.02
1.0 1.0 10.0 5.5 1.0 2.19
1.0 1.0 10.0 5.5 2.0 2.45
1.0 1.0 10.0 5.5 5.0 3.04
1.0 1.0 10.0 5.5 10.0 3.86
1.0 1.0 10.0 5.5 20.0 5.34
1.0 1.0 10.0 5.5 100.0 17.179999999999996
1.0 1.0 10.0 8.5 0.01 1.81
1.0 1.0 10.0 8.5 0.02 1.82
1.0 1.0 10.0 8.5 0.05 1.84
1.0 1.0 10.0 8.5 0.1 1.88
1.0 1.0 10.0 8.5 0.2 1.99
